WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
kill	15E79E1BDCA40241D5FE6651A2077621	1	1	9	1
shelter	15E79E1BDCA40241D5FE6651A2077621	1	9	1	9
brutal	15E79E1BDCA40241D5FE6651A2077621	1	2	9	2
exploit	15E79E1BDCA40241D5FE6651A2077621	1	1	9	1
protectorship	15E79E1BDCA40241D5FE6651A2077621	1	8	1	9
safe	3C326DAE2FC36C4BEC292536C1A05813	1	9	1	9
peace	3C326DAE2FC36C4BEC292536C1A05813	1	8	1	8
amity	15E79E1BDCA40241D5FE6651A2077621	1	5	5	5
defenestration	15E79E1BDCA40241D5FE6651A2077621	1	2	7	3
fight	3C326DAE2FC36C4BEC292536C1A05813	1	2	8	1
destroy	3C326DAE2FC36C4BEC292536C1A05813	1	1	8	1
safekeeping	3C326DAE2FC36C4BEC292536C1A05813	1	8	2	9
annihilation	FF5D5E71B94719040105E311AF3B7439	1	3	4	3
ravage	FF5D5E71B94719040105E311AF3B7439	1	2	9	9
defenestration	FF5D5E71B94719040105E311AF3B7439	1	9	9	9
